N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
200000.000000,0.241633,0.258956,155842.000000,21.000000,69.000000,0.237418,0.386975,0.035407,0.035565,0.282845,0.229628,46405.000000
205000.000000,0.185674,0.208851,159950.000000,21.000000,69.000000,0.214099,0.241046,0.035981,0.044249,0.423562,0.335863,47733.000000
210000.000000,0.239849,0.227217,163902.000000,21.000000,69.000000,0.240139,0.296383,0.040559,0.037352,0.377443,0.391493,49037.000000
215000.000000,0.303569,0.272284,167872.000000,21.000000,69.000000,0.257729,0.276579,0.032840,0.044865,0.374391,0.307220,50332.000000
220000.000000,0.229234,0.276626,171927.000000,21.000000,71.000000,0.230347,0.270276,0.036951,0.049504,0.379231,0.391965,51679.000000
225000.000000,0.244099,0.284747,175814.000000,21.000000,71.000000,0.251301,0.298142,0.035906,0.046163,0.393264,0.366943,52897.000000
230000.000000,0.248761,0.270105,179773.000000,22.000000,71.000000,0.311226,0.354281,0.039501,0.046485,0.486507,0.357125,54330.000000
235000.000000,0.274756,0.315555,183723.000000,22.000000,71.000000,0.296570,0.311303,0.036739,0.050021,0.429781,0.356919,55085.000000
240000.000000,0.277122,0.309163,187728.000000,22.000000,71.000000,0.295512,0.314440,0.038731,0.051032,0.432851,0.403599,56983.000000
245000.000000,0.271370,0.298458,191745.000000,22.000000,71.000000,0.273759,0.322615,0.040068,0.050543,0.401065,0.378863,57533.000000
250000.000000,0.285211,0.320999,195772.000000,22.000000,71.000000,0.302275,0.336342,0.038002,0.054583,0.458300,0.411533,59274.000000
255000.000000,0.285340,0.315311,199831.000000,22.000000,71.000000,0.291671,0.326801,0.039757,0.050212,0.413942,0.393660,60176.000000
260000.000000,0.292639,0.321688,203855.000000,22.000000,71.000000,0.302391,0.382973,0.047159,0.049608,0.471919,0.453108,61659.000000
265000.000000,0.328934,0.348199,207973.000000,22.000000,71.000000,0.319545,0.400052,0.060336,0.056432,0.508546,0.528565,62756.000000
270000.000000,0.342914,0.370139,212007.000000,22.000000,71.000000,0.259951,0.334617,0.042315,0.054221,0.498817,0.482175,63959.000000
275000.000000,0.347031,0.430051,215995.000000,22.000000,71.000000,0.335551,0.411326,0.056084,0.056379,0.545964,0.481319,65305.000000
280000.000000,0.344207,0.387080,219953.000000,22.000000,72.000000,0.326469,0.412659,0.060495,0.064647,0.510424,0.483236,66757.000000
285000.000000,0.393802,0.401302,223994.000000,22.000000,72.000000,0.354498,0.422153,0.053015,0.055751,0.538698,0.520532,67373.000000
290000.000000,0.352740,0.394232,228019.000000,22.000000,72.000000,0.375219,0.482116,0.057850,0.065556,0.732174,0.629371,69550.000000
295000.000000,0.377540,0.441324,232063.000000,22.000000,72.000000,0.388363,0.494929,0.062270,0.066419,0.649875,0.559994,70331.000000
300000.000000,0.430513,0.391133,236138.000000,22.000000,72.000000,0.315216,0.414771,0.066849,0.072619,0.595430,0.554291,71665.000000
305000.000000,0.436841,0.434003,240092.000000,22.000000,72.000000,0.433207,0.504337,0.065050,0.076909,0.621789,0.648797,72736.000000
310000.000000,0.416239,0.559501,244074.000000,22.000000,72.000000,0.445384,0.550151,0.066662,0.071668,0.698293,0.657780,74260.000000
315000.000000,0.402206,0.489639,248110.000000,22.000000,72.000000,0.419432,0.580170,0.059086,0.060694,0.624159,0.636223,75238.000000
320000.000000,0.480849,0.468411,252148.000000,22.000000,72.000000,0.425841,0.508817,0.058605,0.064211,0.674451,0.607552,76900.000000
325000.000000,0.417745,0.476749,256158.000000,22.000000,73.000000,0.444497,0.624522,0.066398,0.075980,0.712452,0.715139,78158.000000
330000.000000,0.407847,0.509624,260208.000000,22.000000,74.000000,0.419223,0.516984,0.064516,0.073156,0.649439,0.594512,79226.000000
335000.000000,0.436448,0.597741,264222.000000,22.000000,74.000000,0.546802,0.680780,0.069250,0.073046,0.723398,0.616543,80889.000000
340000.000000,0.473058,0.579347,268183.000000,22.000000,77.000000,0.468189,0.780485,0.076309,0.076414,0.652151,0.612092,81952.000000
345000.000000,0.473836,0.478004,272206.000000,22.000000,78.000000,0.485308,0.706295,0.068660,0.077787,0.718971,0.733860,83671.000000
350000.000000,0.464455,0.557689,276254.000000,22.000000,78.000000,0.463157,0.646699,0.066502,0.078157,0.829611,0.620669,84504.000000
355000.000000,0.447729,0.559264,280215.000000,22.000000,81.000000,0.554980,0.675859,0.073971,0.076337,0.781322,0.723810,86051.000000
360000.000000,0.535380,0.638642,284294.000000,22.000000,82.000000,0.497846,0.643642,0.072204,0.099526,0.805154,0.744131,87178.000000
365000.000000,0.513395,0.613464,288294.000000,22.000000,84.000000,0.538844,0.637267,0.067581,0.083341,0.707359,0.732999,88882.000000
370000.000000,0.494944,0.580886,292235.000000,22.000000,85.000000,0.542779,0.685299,0.068508,0.071636,0.719932,0.780346,90216.000000
375000.000000,0.590885,0.599818,296223.000000,22.000000,86.000000,0.628752,0.709026,0.060374,0.073800,0.919060,1.128777,91351.000000
380000.000000,0.643607,0.677094,300213.000000,22.000000,87.000000,0.522152,0.843301,0.082749,0.086016,0.954013,0.928034,92102.000000
385000.000000,0.521017,0.684859,304337.000000,22.000000,90.000000,0.532799,0.654059,0.069068,0.094273,0.922283,0.674010,93711.000000
