N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
46000.000000,0.030705,0.031357,34703.000000,19.000000,55.000000,0.025846,0.038086,0.010302,0.007641,0.040861,0.036214,11363.000000
47000.000000,0.029066,0.032738,35509.000000,19.000000,55.000000,0.025737,0.031472,0.009693,0.011681,0.067865,0.072996,11336.000000
48000.000000,0.035625,0.034279,36285.000000,19.000000,55.000000,0.034804,0.050679,0.008277,0.007770,0.053645,0.039626,11964.000000
49000.000000,0.026019,0.026875,37053.000000,19.000000,55.000000,0.021384,0.025931,0.007106,0.008403,0.041442,0.032856,12095.000000
50000.000000,0.052832,0.044661,37907.000000,19.000000,55.000000,0.025996,0.026794,0.006457,0.007267,0.044022,0.031828,12440.000000
51000.000000,0.031575,0.028153,38726.000000,19.000000,55.000000,0.024231,0.026443,0.007090,0.006896,0.048385,0.039927,12628.000000
52000.000000,0.041062,0.035398,39542.000000,19.000000,55.000000,0.028668,0.033094,0.007502,0.009022,0.048224,0.042708,12986.000000
53000.000000,0.038583,0.038444,40330.000000,19.000000,55.000000,0.029914,0.036133,0.007047,0.008847,0.050348,0.044699,13296.000000
54000.000000,0.039953,0.037548,41116.000000,19.000000,55.000000,0.029782,0.035105,0.006458,0.008291,0.054997,0.043226,13505.000000
55000.000000,0.038271,0.038889,41915.000000,19.000000,55.000000,0.032724,0.043705,0.007206,0.009065,0.055328,0.045453,13780.000000
56000.000000,0.040360,0.038879,42709.000000,19.000000,55.000000,0.031374,0.036870,0.007154,0.009829,0.054769,0.048206,14100.000000
57000.000000,0.039913,0.040698,43457.000000,19.000000,55.000000,0.032194,0.038082,0.007406,0.009363,0.054206,0.047570,14211.000000
58000.000000,0.041238,0.042344,44217.000000,19.000000,55.000000,0.032516,0.040330,0.007035,0.009900,0.056671,0.047908,14538.000000
59000.000000,0.039515,0.041395,44980.000000,19.000000,55.000000,0.033732,0.048684,0.010787,0.010685,0.052970,0.042059,14940.000000
60000.000000,0.033779,0.035869,45757.000000,19.000000,55.000000,0.027889,0.032155,0.006576,0.008712,0.052574,0.042395,15291.000000
61000.000000,0.046748,0.046952,46538.000000,19.000000,55.000000,0.038372,0.042238,0.010422,0.012652,0.074896,0.099400,15418.000000
62000.000000,0.044161,0.046273,47288.000000,19.000000,55.000000,0.039791,0.046787,0.014565,0.012105,0.069783,0.057721,15907.000000
63000.000000,0.048398,0.051126,48095.000000,19.000000,55.000000,0.060958,0.039772,0.012375,0.008960,0.056243,0.044686,16075.000000
64000.000000,0.040406,0.039539,48896.000000,19.000000,55.000000,0.033032,0.048725,0.008726,0.008541,0.050508,0.043683,16373.000000
65000.000000,0.038144,0.038267,49679.000000,19.000000,55.000000,0.030570,0.035759,0.008691,0.009287,0.065870,0.059260,16579.000000
66000.000000,0.048968,0.049383,50466.000000,19.000000,55.000000,0.040230,0.046865,0.011238,0.011198,0.073944,0.083566,16802.000000
67000.000000,0.055786,0.058645,51186.000000,19.000000,55.000000,0.050250,0.063157,0.015584,0.012614,0.098102,0.118013,17236.000000
68000.000000,0.085821,0.059853,51992.000000,19.000000,55.000000,0.069998,0.121454,0.017934,0.015750,0.089782,0.086838,17315.000000
69000.000000,0.052865,0.056203,52755.000000,19.000000,55.000000,0.081975,0.114780,0.013397,0.013759,0.081335,0.086383,17744.000000
70000.000000,0.040663,0.042982,53537.000000,19.000000,55.000000,0.034471,0.053103,0.009381,0.009739,0.085474,0.060094,18008.000000
71000.000000,0.041420,0.045113,54319.000000,19.000000,55.000000,0.040214,0.061455,0.008220,0.009442,0.062413,0.053172,18183.000000
72000.000000,0.044156,0.050517,55097.000000,19.000000,55.000000,0.043114,0.059500,0.011312,0.011448,0.083742,0.066344,18940.000000
73000.000000,0.054541,0.061422,55855.000000,19.000000,55.000000,0.063079,0.063776,0.013218,0.013753,0.091959,0.066663,19014.000000
74000.000000,0.054739,0.059808,56652.000000,19.000000,55.000000,0.081491,0.056435,0.009918,0.012830,0.078147,0.082013,19500.000000
75000.000000,0.055699,0.064527,57447.000000,19.000000,55.000000,0.061063,0.058053,0.009831,0.012120,0.084374,0.072395,20017.000000
76000.000000,0.059211,0.078782,58226.000000,19.000000,55.000000,0.047152,0.069870,0.010546,0.014004,0.094642,0.096641,19729.000000
77000.000000,0.057273,0.057216,58969.000000,20.000000,55.000000,0.069376,0.069464,0.010724,0.013820,0.078046,0.090939,20244.000000
78000.000000,0.060135,0.060043,59755.000000,20.000000,55.000000,0.058870,0.060216,0.010165,0.012338,0.085955,0.079077,20441.000000
79000.000000,0.059233,0.064308,60538.000000,20.000000,56.000000,0.053163,0.092326,0.013646,0.013141,0.097203,0.079528,20776.000000
80000.000000,0.065614,0.059897,61260.000000,20.000000,56.000000,0.065064,0.058706,0.016353,0.016333,0.084421,0.080469,21389.000000
81000.000000,0.061904,0.064467,61980.000000,20.000000,56.000000,0.063731,0.074309,0.019240,0.018055,0.087824,0.073510,21432.000000
82000.000000,0.066198,0.068266,62744.000000,20.000000,56.000000,0.066708,0.063169,0.010898,0.013461,0.110606,0.089994,21642.000000
83000.000000,0.065679,0.062885,63570.000000,20.000000,56.000000,0.079806,0.073076,0.012378,0.012427,0.095527,0.075804,22030.000000
84000.000000,0.067161,0.065711,64355.000000,20.000000,56.000000,0.070895,0.062916,0.011503,0.013003,0.085892,0.081329,22318.000000
85000.000000,0.058132,0.080625,65089.000000,20.000000,56.000000,0.063019,0.117481,0.011781,0.015601,0.105306,0.082306,22914.000000
86000.000000,0.069634,0.071650,65883.000000,20.000000,56.000000,0.082370,0.067423,0.015736,0.014964,0.105513,0.078957,23056.000000
87000.000000,0.065842,0.069145,66611.000000,20.000000,56.000000,0.081891,0.074414,0.012365,0.014238,0.096325,0.080191,23248.000000
88000.000000,0.073625,0.088515,67371.000000,20.000000,56.000000,0.060189,0.075269,0.011718,0.012284,0.101847,0.087443,23304.000000
89000.000000,0.081929,0.068902,68185.000000,20.000000,56.000000,0.067935,0.067300,0.011816,0.013467,0.098558,0.089818,23936.000000
90000.000000,0.063527,0.068824,68932.000000,20.000000,56.000000,0.098860,0.078270,0.016728,0.015041,0.113625,0.086939,24135.000000
91000.000000,0.069900,0.082283,69657.000000,20.000000,56.000000,0.065916,0.070191,0.012159,0.012840,0.107563,0.091503,24708.000000
92000.000000,0.081949,0.083415,70517.000000,20.000000,56.000000,0.075975,0.073769,0.013515,0.016139,0.109770,0.085450,24792.000000
93000.000000,0.076010,0.081571,71307.000000,20.000000,65.000000,0.065141,0.075197,0.013383,0.013806,0.100800,0.110081,25038.000000
94000.000000,0.074017,0.084964,72084.000000,20.000000,65.000000,0.065707,0.074770,0.012306,0.016091,0.107479,0.097736,25189.000000
95000.000000,0.069784,0.102577,72849.000000,20.000000,65.000000,0.066289,0.077665,0.013056,0.016380,0.118876,0.097311,25698.000000
96000.000000,0.070300,0.096875,73645.000000,20.000000,65.000000,0.063265,0.073983,0.013581,0.014748,0.108233,0.105128,26034.000000
97000.000000,0.079118,0.103783,74421.000000,20.000000,65.000000,0.066347,0.076234,0.013469,0.014657,0.108999,0.110432,25828.000000
98000.000000,0.080271,0.103639,75211.000000,20.000000,65.000000,0.070480,0.083137,0.013739,0.014648,0.112201,0.117896,26545.000000
99000.000000,0.078856,0.095738,75948.000000,20.000000,65.000000,0.070235,0.084101,0.014567,0.015963,0.127605,0.141501,26915.000000
99999.000000,0.076103,0.104637,76757.000000,20.000000,65.000000,0.076684,0.077209,0.013701,0.016167,0.114031,0.118930,27322.000000
